USERNAME;JOB_ID;NODENAME;APPNAME;AVG.FREQ;TIME;CPI;TPI;GBS;GFLOPS_1_proces;DC-NODE-POWER;DRAM-POWER;PCK-POWER;DEF.FREQ;POLICY;POLICY_TH;TOTAL_INST;CORES
NA;55095;cmp2732.hpc.eu.lenovo.com;AVX-512F DP ADD512;2187300;58.813972;0.471224;0.0;0.0;34.696520;225.456631;16.237948;181.824062;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55095;cmp2732.hpc.eu.lenovo.com;AVX-512F DP MUL512;2189400;58.810749;0.469107;0.0;0.0;34.823088;225.537002;16.219034;182.571868;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55095;cmp2732.hpc.eu.lenovo.com;AVX-512F DP FMADD512;2188800;58.814771;0.470778;0.0;0.0;69.634913;233.614784;16.196533;191.219702;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;SSE2 DP ADD128;3095700;41.621395;0.470752;0.0;0.0;12.302109;318.057576;16.171875;270.882290;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;SSE2 DP MUL128;3091500;42.087382;0.474630;0.0;0.0;12.130028;325.679559;16.197457;277.062346;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD128;3092700;41.613962;0.470688;0.0;0.0;24.521001;336.377488;16.183148;283.099868;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;AVX DP ADD256;2593500;49.646085;0.470759;0.0;0.0;20.628318;286.810128;16.188758;237.634579;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;AVX DP MUL256;2593500;49.650159;0.470755;0.0;0.0;20.552961;285.578139;16.189574;237.540030;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD256;2593500;49.650521;0.470760;0.0;0.0;41.248805;294.901236;16.218687;245.547495;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;AVX-512F DP ADD512;2206200;58.805571;0.470775;0.0;0.0;34.821374;225.267773;16.246414;181.821118;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;AVX-512F DP MUL512;2185500;58.813190;0.471215;0.0;0.0;34.817341;225.374614;16.230343;182.564424;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;55138;cmp2732.hpc.eu.lenovo.com;AVX-512F DP FMADD512;2188200;58.825439;0.470803;0.0;0.0;69.623501;233.878408;16.222050;191.299259;2401000;MONITORING_NO_EAR;0.0;256000000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;SSE2 DP ADD128;3034800;0.052086;0.470875;0.0;0.0;12.469136;0.000000;17.194627;271.863424;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;SSE2 DP MUL128;3027000;0.055678;0.495209;0.0;0.0;11.478738;0.000000;17.072206;273.723130;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD128;3021900;0.052069;0.471396;0.0;0.0;24.953380;0.000000;17.037306;279.178783;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;AVX DP ADD256;2646600;0.062184;0.469372;0.0;0.0;20.833088;0.000000;16.828738;239.450898;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;AVX DP MUL256;2640900;0.062176;0.470217;0.0;0.0;20.828398;0.000000;16.986495;239.716322;2401000;MONITORING_NO_EAR;0.0;320000000;40
